player_id_cat,deposit_approved_sum,withdrawal_approved_sum,turnover_cash_sum,winning_cash_sum,result_cash_sum,NGR_sum,bonus_cash_sum,session_sum,female,male
2317,30,0,135,106,-29,28,0,2303,0.0,1.0
2318,17138,9945,101355,94122,-7233,7177,645,679975,1.0,0.0
2319,12481,9839,75260,72618,-2642,2470,135,228815,1.0,0.0
2320,220,368,854,1019,165,-209,118,29532,0.0,1.0
2321,687,0,14370,13528,-842,653,0,22817,0.0,1.0
2324,61,0,180,121,-59,60,0,7160,0.0,1.0
2326,210,0,954,744,-210,210,0,2299,0.0,1.0
2328,119,130,223,234,11,-11,35,18227,0.0,1.0
2329,73,0,119,46,-73,72,0,5193,1.0,0.0
2330,3116,542,9992,7318,-2674,2549,216,129824,0.0,1.0
2331,125,0,686,562,-124,125,0,19336,0.0,1.0
2334,12221,6170,43755,38701,-5054,5037,324,441980,0.0,1.0
2335,120,0,456,336,-120,120,0,3537,0.0,1.0
2336,738,0,3980,3241,-739,736,17,79593,1.0,0.0
2337,88,0,227,139,-88,87,0,2924,1.0,0.0
2338,88,0,561,473,-88,38,0,968,0.0,1.0
2340,59,0,72,13,-59,59,0,2394,0.0,1.0
2341,178,0,213,35,-178,178,0,4981,0.0,1.0
2343,88,0,93,6,-87,87,26,2268,0.0,1.0
2344,175,0,233,61,-172,172,0,2260,1.0,0.0
2345,96493,89635,407374,403103,-4271,3758,681,1994415,1.0,0.0
2347,176,326,1298,1448,150,-153,0,22878,0.0,1.0
2349,184,0,369,182,-187,184,6,15624,0.0,1.0
2350,585,0,1280,695,-585,585,16,10122,0.0,1.0
2351,29,0,506,472,-34,29,0,9452,0.0,1.0
2352,455,0,869,417,-452,452,4,11650,0.0,1.0
2356,134,298,544,698,154,-166,33,7434,0.0,1.0
2358,16895,10568,52426,46529,-5897,5505,241,505869,0.0,1.0
2360,355,0,1987,1634,-353,355,3,13226,0.0,1.0
2363,916,0,9551,8605,-946,915,67,54545,0.0,1.0
2366,513,146,4207,3841,-366,365,26,65031,1.0,0.0
2367,298,146,492,340,-152,152,36,6146,1.0,0.0
2368,89,0,181,79,-102,88,0,1132,1.0,0.0
2369,210,360,454,602,148,-150,19,13075,0.0,1.0
2371,44,0,63,16,-47,44,3,4805,0.0,1.0
2372,58,0,71,13,-58,58,0,2859,0.0,1.0
2373,1779,420,4179,2822,-1357,1359,32,27441,0.0,1.0
2375,5927,4149,40550,38772,-1778,1778,0,14986,0.0,1.0
2376,59,0,75,16,-59,59,2,2683,0.0,1.0
2379,58,0,115,57,-58,58,0,2712,0.0,1.0
2380,20211,13051,134803,127628,-7175,7060,110,258857,0.0,1.0
2381,591,1480,2613,3500,887,-923,25,22889,0.0,1.0
2382,177,0,1081,846,-235,236,9,13148,1.0,0.0
2384,150,0,513,362,-151,150,21,6908,0.0,1.0
2385,75,0,76,0,-76,0,8,13881,0.0,1.0
2386,727,0,1566,839,-727,727,0,17118,0.0,1.0
2388,296,295,801,741,-60,60,0,13265,0.0,1.0
2389,90,0,202,112,-90,90,0,2373,1.0,0.0
2390,149,0,392,243,-149,149,0,6051,0.0,1.0
2391,294,189,1749,1644,-105,104,9,46391,1.0,0.0
2392,59,0,80,21,-59,54,0,2380,1.0,0.0
2393,30,0,45,15,-30,30,0,2850,1.0,0.0
2394,31,0,255,224,-31,31,0,4803,1.0,0.0
